RELATIONSHIP_ID,RELATIONSHIP_NAME,IS_HIERARCHICAL,DEFINES_ANCESTRY,REVERSE_RELATIONSHIP_ID,RELATIONSHIP_CONCEPT_ID
Has dir subst,Has direct substance (SNOMED),0,0,Dir subst of,44818764
Has direct site,Has direct site (SNOMED),0,0,Direct site of,5079
Has disc indicator,Has discontinued indicator (SNOMED),0,0,Disc indicator of,45905804
Has disp dose form,Has dispensed dose form (SNOMED),0,0,Disp dose form of,45905736
Has disposition,Has disposition (SNOMED),0,0,Disposition of,581461
Has dose form,Has dose form (SNOMED),0,0,Dose form of,44818782
Has dose form unit,Has unit relating to the size (DM+D),0,0,Dose form unit of,45905742
Has drug-drug inter,Is involved in drug-drug interaction (NDF),0,0,Drug-drug inter for,44818915
Has due to,Has due to (SNOMED),0,0,Due to of,44818780
Has episodicity,Has episodicity (SNOMED),0,0,Episodicity of,44818763
Has etiology,Has Etiology (SNOMED),0,0,Etiology of,45754812
Has excipient,Has excipient (SNOMED),0,0,Excipient of,45905791
Has extent,Has Extent (SNOMED),0,0,Extent of,45754816
Has finding context,Has finding context (SNOMED),0,0,Finding context of,44818789
Has finding site,Has finding site (SNOMED),0,0,Finding site of,44818762
Has flavor,Has flavor (SNOMED),0,0,Flavor of,45905802
Has focus,Has focus (SNOMED),0,0,Focus of,44818759
Has form,Has form (RxNorm),0,0,Form of,44818718
Has Histology ICDO,Has Histology ICDO,0,0,Histology of ICDO,581427
Has incipient,Has incipient (DM+D),0,0,Incipient of,45905740
Has indir device,Has indirect device (SNOMED),0,0,Indir device of,44818755
Has indir morph,Has indirect morphology (SNOMED),0,0,Indir morph of,44818754
Has indir proc site,Has indirect procedure site (SNOMED),0,0,Indir proc site of,44818786
Has inherent,Has inherent (SNOMED),0,0,Inheres in,5078
Has inherent loc,Has inherent location (SNOMED),0,0,Inherent location of,5067
Has intended site,Has dose form intended site (SNOMED),0,0,Intended site of,581465
Has intent,Has intent (SNOMED),0,0,Intent of,44818758
Has interpretation,Has interpretation (SNOMED),0,0,Interpretation of,44818757
Has interprets,Has interprets (SNOMED),0,0,Interprets of,44818753
Has kind,Has kind (LOINC),0,0,Kind of,32460
Has laterality,Has laterality (SNOMED),0,0,Laterality of,44818752
Has legal category,Has legal category (SNOMED),0,0,Legal category of,45905812
Has licensed route,Has licensed route (DM+D),0,0,Licensed route of,45905741
Has manifestation,Has definitional manifestation (SNOMED),0,0,Manifestation of,44818760
Has meas component,Has Measured Component (SNOMED),0,0,Meas component of,45754808
Has measurement,Has measurement method (SNOMED),0,0,Measurement of,44818771
Has method,Has method (SNOMED),0,0,Method of,44818751
Has modification,Has modification of (SNOMED),0,0,Modification of,32440
Has Module,Has Module,0,0,Module of,581406
Has morphology,Has Morphology (SNOMED),0,0,Morphology of,45754806
Has non-avail ind,Has VMP non-availability indicator (SNOMED),0,0,Non-avail ind of,45905794
Has numerator unit,Has presentation strength numerator unit (SNOMED),0,0,Numerator unit of,581420
Has numerator value,Has presentation strength numerator value (SNOMED),0,0,Numerator value of,581422
Has occurrence,Has occurrence (SNOMED),0,0,Occurrence of,44818750
Has pack,Has pack (SNOMED),0,0,Is pack of,45905758
Has part of,Has part of (SNOMED),0,0,Part of,44818746
Has pathology,Has pathological process (SNOMED),0,0,Pathology of,44818745
Has pharma prep,Has pharmaceutical preparation (NDF),0,0,Pharma prep in,44818916
Has PPI parent code,Has PPI parent code,0,0,PPI parent code of,32469
Has prec ingredient,Has precise active ingredient (SNOMED),0,0,Prec ingredient of,32427
Has precise ing,Has precise ingredient (RxNorm),0,0,Precise ing of,44818715
Has precondition,Has precondition (SNOMED),0,0,Precondition of,5065
Has priority,Has priority (SNOMED),0,0,Priority of,44818744
Has proc context,Has procedure context (SNOMED),0,0,Proc context of,44818790
Has proc device,Has procedure device (SNOMED),0,0,Proc device of,44818787
Has proc morph,Has procedure morphology (SNOMED),0,0,Proc morph of,44818788
Has proc site,Has procedure site (SNOMED),0,0,Proc site of,44818743
Has process output,Has process output (SNOMED),0,0,Process output of,5073
Has property,Has property (SNOMED),0,0,Property of,44818772
Has property type,Has property type (SNOMED),0,0,Property type of,5075
Has recipient cat,Has recipient category (SNOMED),0,0,Recipient cat of,44818742
Has relat context,Has subject relationship context (SNOMED),0,0,Relat context of,44818781
Has relative part,Has relative part (SNOMED),0,0,Relative part of,5071
Has release charact,Has dose form release characteristic (SNOMED),0,0,Release charact of,581467
Has revision status,Has revision status (SNOMED),0,0,Revision status of,44818748
Has role,Has role (LOINC),0,0,Role of,32458
Has route,Has route (DM+D),0,0,Route of,45905744
Has route of admin,Has route of administration (SNOMED),0,0,Route of admin of,44818799
Has scale type,Has scale type (SNOMED),0,0,Scale type of,44818773
Has setting,Has setting (LOINC),0,0,Setting of,32462
Has severity,Has severity (SNOMED),0,0,Severity of,44818747
Has spec active ing,Has specific active ingredient (SNOMED),0,0,Spec active ing of,45905737
Has specimen,Has specimen (SNOMED),0,0,Specimen of,44818756
Has specimen morph,Has specimen source morphology (SNOMED),0,0,Specimen morph of,44818777
Has specimen proc,Has specimen procedure (SNOMED),0,0,Specimen proc of,44818775
Has specimen source,Has specimen source identity (SNOMED),0,0,Specimen identity of,44818776
Has specimen subst,Has specimen substance (SNOMED),0,0,Specimen subst of,44818779
Has specimen topo,Has specimen source topography (SNOMED),0,0,Specimen topo of,44818778
Has stage,Has Stage (SNOMED),0,0,Stage of,45754814
Has standard brand,Has standard Brand Name (OMOP),0,0,Is standard brand of,228
Has standard form,Has standard Dose Form (OMOP),0,0,Is standard form of,230
Has standard ing,Has standard ingredient (OMOP),0,0,Is standard ing of,226
Has state of matter,Has state of matter (SNOMED),0,0,State of matter of,581471
Has subject matter,Has subject matter domain (LOINC),0,0,Subject matter of,32454
Has supplier,Has supplier or manufacturer (OMOP),0,0,Supplier of,248
Has surgical appr,Has surgical approach (SNOMED),0,0,Surgical appr of,44818793
Has technique,Has technique (SNOMED),0,0,Technique of,5069
Has temp finding,Has temporal finding (SNOMED),0,0,Temp related to,581474
Has temporal context,Has temporal context (SNOMED),0,0,Temporal context of,44818791
Has therap class,Has therapeutic class (NDF),0,0,Therap class of,44818912
Has time aspect,Has time aspect (SNOMED),0,0,Time aspect of,44818774
Has Topic,Has Topic,0,0,Topic of,581415
Has Topography ICDO,Has Topography ICDO,0,0,Topography of ICDO,581429
Has trade family grp,Has trade family group (SNOMED),0,0,Trade family grp of,45905747
Has transformation,Has dose form transformation (SNOMED),0,0,Transformation of,581469
Has type of service,Has type of service (LOINC),0,0,Type of service of,32456
Has unit of admin,Has unit of administration (SNOMED),0,0,Unit of admin of,32409
Has unit of presen,Has unit of presentation (SNOMED),0,0,Unit of presen of,32429
Has unit of prod use,Has unit relating to the entity that can be handled (DM+D),0,0,Unit of prod use of,45905743
Has VMP,Has Virtual Medicinal Product (SNOMED),0,0,VMP of,45905739
Has VRP,Has VRP (SNOMED),0,0,VRP of,45905798
Histology of ICDO,Histology of ICDO,0,0,Has Histology ICDO,581428
ICD9CM - FDB Ind,ICD-9-CM to FDB Indication/Contraindication (FDB),0,0,FDB Ind - ICD9CM,44819288
ICD9CM - MedDRA,ICD-9-CM to MedDRA (MSSO),0,0,MedDRA - ICD9CM,44819286
ICD9P - SNOMED eq,ICD-9-Procedure to SNOMED equivalent (OMOP),0,0,SNOMED - ICD9P eq,44818802
ICD9P replaced by,Concept replaced by (ICD-9-Procedure),0,0,ICD9P replaces,44818971
ICD9P replaces,Concept replaces (ICD-9-Procedure),0,0,ICD9P replaced by,44818972
ICDO - SNOMED,ICDO - SNOMED,0,0,SNOMED - ICDO,581431
Incipient of,Incipient of (DM+D),0,0,Has incipient,45905752
Included in map from,Standard to Non-standard include child (OMOP),0,0,Map includes child,44818973
Ind/CI - SNOMED,Indication/Contra-indication to SNOMED,0,0,SNOMED - ind/CI,44818910
Indir device of,Indirect device of (SNOMED),0,0,Has indir device,44818853
Indir morph of,Indirect morphology of (SNOMED),0,0,Has indir morph,44818852
Indir proc site of,Indirect procedure site of (SNOMED),0,0,Has indir proc site,44818884
Inherent location of,Inherent location of (SNOMED),0,0,Has inherent loc,5068
Inheres in,Inheres in (SNOMED),0,0,Has inherent,5077
Intended site of,Dose form intended site of (SNOMED),0,0,Has intended site,581466
Intent of,Intent of (SNOMED),0,0,Has intent,44818856
Interpretation of,Interpretation of (SNOMED),0,0,Has interpretation,44818855
Interprets of,Interprets of (SNOMED),0,0,Has interprets,44818851
Is characterized by,Is characterized by (SNOMED),0,0,Characterizes,5082
Is CI of,Is contra-indication of (FDB),0,0,Has CI,44818906
Is pack of,Is pack of (SNOMED),0,0,Has pack,45905746
Is standard brand of,Is standard Brand Name of (OMOP),0,0,Has standard brand,227
Is standard form of,Is standard Dose Form of (OMOP),0,0,Has standard form,229
Kind of,Kind of (LOINC),0,0,Has kind,32461
Laterality of,Laterality of (SNOMED),0,0,Has laterality,44818850
Legal category of,Legal category of (SNOMED),0,0,Has legal category,45905813
Licensed route of,Licensed route of (DM+D),0,0,Has licensed route,45905753
LOINC - CPT4 eq,LOINC to CPT4 equivalent (SNOMED),0,0,CPT4 - LOINC eq,45956697
LOINC - SNOMED eq,LOINC Hierarchy to SNOMED equivalent (LOINC),0,0,SNOMED - LOINC eq,45956695
LOINC replaced by,Concept replaced by (LOINC),0,0,LOINC replaces,44818714
LOINC replaces,Concept replaces (LOINC),0,0,LOINC replaced by,44818812
Manifestation of,Definitional manifestation of (SNOMED),0,0,Has manifestation,44818858
Map excludes child,Non-standard to Standard exclude child (OMOP),0,0,Excluded in map from,44818974
Map includes child,Non-standard to Standard include child (OMOP),0,0,Included in map from,44818975
Mapped from,Standard to Non-standard map (OMOP),0,0,Maps to,44818976
Maps to,Non-standard to Standard map (OMOP),0,0,Mapped from,44818977
Maps to number,Non-standard to value_as_number map (OMOP),0,0,Number mapped from,45754885
Maps to operator,Non-standard to operator concept map (OMOP),0,0,Operator mapped from,45754883
Maps to type,Non-standard to type concept map (OMOP),0,0,Type mapped from,44819237
Maps to unit,Non-standard to unit concept map (OMOP),0,0,Unit mapped from,44819238
Maps to value,Non-standard to value_as_concept map (OMOP),0,0,Value mapped from,44819239
Meas component of,Measured Component of (SNOMED),0,0,Has meas component,45754809
Measurement of,Measurement method of (SNOMED),0,0,Has measurement,44818869
MedDRA - ICD9CM,MedDRA to ICD-9-CM (MSSO),0,0,ICD9CM - MedDRA,44819287
MedDRA - SMQ,MedDRA contained in SMQ (MedDRA),0,0,SMQ - MedDRA,44818909
Method of,Method of (SNOMED),0,0,Has method,44818849
Modification of,Is modification of (SNOMED),0,0,Has modification,32439
Morphology of,Morphology of (SNOMED),0,0,Has morphology,45754807
MS-DRG - DRG eq,MS-DRG to DRG equivalent (CMS),0,0,DRG - MS-DRG eq,44818937
Multilex has ing,Has ingredient (Multilex),0,0,Multilex ing of,44818950
Multilex ing of,Ingredient of (Multilex),0,0,Multilex has ing,44818951
NDFRT - SNOMED eq,NDF-RT to SNOMED equivalent (RxNorm),0,0,SNOMED - NDFRT eq,45754846
NDFRT - VAProd,NDF-RT to VA Product (NDF-RT),0,0,VAProd - NDFRT,44818943
NDFRT to ATC eq,NDFRT to ATC equivalent (NDF-RT),0,0,ATC to NDFRT eq,45754837
NDFRT to VA Class eq,NDFRT to VA Class equivalent (NDF-RT),0,0,VA Class to NDFRT eq,45754840
Non-avail ind of,VMP non-availability indicator of (SNOMED),0,0,Has non-avail ind,45905795
Number mapped from,Value_as_number to non-standard map (OMOP),0,0,Maps to number,45754886
Numerator unit of,Presentation strength numerator unit of (SNOMED),0,0,Has numerator unit,581421
Numerator value of,Presentation strength numerator value of (SNOMED),0,0,Has numerator value,581423
Occurrence of,Occurrence of (SNOMED),0,0,Has occurrence,44818848
Occurs after,Occurs after (SNOMED),0,0,Occurs before,44818783
Occurs before,Occurs before (SNOMED),0,0,Occurs after,44818881
Operator mapped from,Operator concept to non-standard map (OMOP),0,0,Maps to operator,45754884
Part of,Part of (SNOMED),0,0,Has part of,44818844
Pathology of,Pathological process of (SNOMED),0,0,Has pathology,44818843
PPI parent code of,PPI parent code of,0,0,Has PPI parent code,32470
Prec ingredient of,Precise active ingredient of (SNOMED),0,0,Has prec ingredient,32428
Precise ing of,Precise ingredient of (RxNorm),0,0,Has precise ing,44818813
Precondition of,Precondition of (SNOMED),0,0,Has precondition,5066
Prep to Chem eq,Pharmaceutical Preparation to Chemical Structure equivalent (NDF-RT),0,0,Chem to Prep eq,45754842
Priority of,Priority of (SNOMED),0,0,Has priority,44818842
Proc context of,Procedure context of (SNOMED),0,0,Has proc context,44818888
Proc device of,Procedure device of (SNOMED),0,0,Has proc device,44818885
Proc morph of,Procedure morphology of (SNOMED),0,0,Has proc morph,44818886
Proc site of,Procedure site of (SNOMED),0,0,Has proc site,44818841
Process output of,Process output of (SNOMED),0,0,Has process output,5074
Property of,Property of (SNOMED),0,0,Has property,44818870
Property type of,Property type of (SNOMED),0,0,Has property type,5076
Quantified form of,Quantified form of (RxNorm),0,0,Has quantified form,45754828
Recipient cat of,Recipient category of (SNOMED),0,0,Has recipient cat,44818840
Reformulation of,Reformulation of (RxNorm),0,0,Reformulated in,44818722
Relat context of,Subject relationship context of (SNOMED),0,0,Has relat context,44818879
Relative part of,Relative part of (SNOMED),0,0,Has relative part,5072
Release charact of,Dose form release characteristic of (SNOMED),0,0,Has release charact,581468
Revision status of,Revision status of (SNOMED),0,0,Has revision status,44818846
Role of,Role of (LOINC),0,0,Has role,32459
Route of,Route of (DM+D),0,0,Has route,45905756
Route of admin of,Route of administration of (SNOMED),0,0,Has route of admin,44818897
RxNorm - ATC,RxNorm to ATC,0,0,ATC - RxNorm,44818908
RxNorm - ATC name,RxNorm to ATC equivalent by concept_name (OMOP),0,0,ATC - RxNorm name,44818927
RxNorm - ETC name,RxNorm to ETC equivalent by concept_name (OMOP),0,0,ETC - RxNorm name,44818925
RxNorm - NDFRT eq,RxNorm to NDF-RT equivalent (RxNorm),0,0,NDFRT - RxNorm eq,44818839
RxNorm - NDFRT name,RxNorm to NDF-RT equivalent by concept_name (OMOP),0,0,NDFRT - RxNorm name,44818922
RxNorm - SNOMED eq,RxNorm to SNOMED equivalent (RxNorm),0,0,SNOMED - RxNorm eq,45754844
RxNorm - Source eq,RxNorm to Drug Source equivalent (OMOP),0,0,Source - RxNorm eq,44818952
RxNorm - VAProd eq,RxNorm to VA Product equivalent (NDF-RT),0,0,VAProd - RxNorm eq,44818945
RxNorm replaced by,Concept replaced by (RxNorm),0,0,RxNorm replaces,44818946
RxNorm replaces,Concept replaces (RxNorm),0,0,RxNorm replaced by,44818947
Scale type of,Scale type of (SNOMED),0,0,Has scale type,44818871
Setting of,Setting of (LOINC),0,0,Has setting,32463
Severity of,Severity of (SNOMED),0,0,Has severity,44818845
SMQ - MedDRA,SMQ consists of MedDRA (MedDRA),0,0,MedDRA - SMQ,44818811
SNOMED - ATC eq,SNOMED to ATC equivalent (RxNorm),0,0,ATC - SNOMED eq,45754849
SNOMED - ICDO,SNOMED - ICDO,0,0,ICDO - SNOMED,581432
SNOMED - ind/CI,SNOMED to Indication/Contra-indication,0,0,Ind/CI - SNOMED,44818911
SNOMED - LOINC eq,SNOMED to LOINC Hierarchy equivalent (LOINC),0,0,LOINC - SNOMED eq,45956696
SNOMED - MedDRA eq,SNOMED to MedDRA equivalent (OMOP),0,0,MedDRA - SNOMED eq,44818903
SNOMED - NDFRT eq,SNOMED to NDF-RT equivalent (RxNorm),0,0,NDFRT - SNOMED eq,45754845
SNOMED - RxNorm eq,SNOMED to RxNorm equivalent (RxNorm),0,0,RxNorm - SNOMED eq,45754843
SNOMED - VA Class eq,SNOMED to VA Class equivalent (RxNorm),0,0,VA Class - SNOMED eq,45754847
Box of,Prepackaged box of (OMOP),1,0,Available as box,224
Brand name of,Brand name of (OMOP),1,0,Has brand name,222
Chem to Prep eq,Chemical Structure to Pharmaceutical Preparation equivalent (NDF-RT),1,0,Prep to Chem eq,45754841
CI by,Contraindicated by (NDF-RT),1,0,CI to,44818833
CI chem class of,Contraindicating chemical class of (NDF-RT),1,0,Has CI chem class,44818828
CI MoA of,Contraindicating mechanism of action of (NDF-RT),1,0,Has CI MoA,44818830
CI physiol effect by,Contraindicating physiological effect induced by (NDF-RT),1,0,Has CI physio effect,44818826
